ticker,name,market_cap,date,market
015760,한국전력,17488470506000,1995-05-31,KOSPI
005930,삼성전자,6007735272500,1995-05-31,KOSPI
005490,POSCO홀딩스,5850082763000,1995-05-31,KOSPI
000200,대우중공업,3536769842100,1995-05-31,KOSPI
017670,SK텔레콤,2481920000000,1995-05-31,KOSPI
002610,LGEI,2282444014200,1995-05-31,KOSPI
005380,현대차,1809904266500,1995-05-31,KOSPI
003600,SK,1679207578400,1995-05-31,KOSPI
015580,신한은행,1548000000000,1995-05-31,KOSPI
000010,조흥은행,1500600000000,1995-05-31,KOSPI
000130,한일은행,1434240000000,1995-05-31,KOSPI
000720,현대건설,1429570810800,1995-05-31,KOSPI
003550,LG,1340934812800,1995-05-31,KOSPI
015940,LG데이콤,1307750283000,1995-05-31,KOSPI
000030,우리은행,1300500000000,1995-05-31,KOSPI
003490,대한항공,1264828723200,1995-05-31,KOSPI
000110,제일은행,1230000000000,1995-05-31,KOSPI
010140,삼성중공업,1216900000000,1995-05-31,KOSPI
003810,대우,1176204879200,1995-05-31,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1167451003500,1995-05-31,KOSPI
015760,한국전력,17499898382000,1995-06-30,KOSPI
005930,삼성전자,6632974690000,1995-06-30,KOSPI
005490,POSCO홀딩스,6141178374000,1995-06-30,KOSPI
000200,대우중공업,3215511576000,1995-06-30,KOSPI
017670,SK텔레콤,2653660000000,1995-06-30,KOSPI
002610,LGEI,2354018913600,1995-06-30,KOSPI
005380,현대차,1878126822000,1995-06-30,KOSPI
003600,SK,1668980305700,1995-06-30,KOSPI
015580,신한은행,1609920000000,1995-06-30,KOSPI
000720,현대건설,1581938859600,1995-06-30,KOSPI
000010,조흥은행,1476000000000,1995-06-30,KOSPI
003550,LG,1442962461600,1995-06-30,KOSPI
000130,한일은행,1424280000000,1995-06-30,KOSPI
003490,대한항공,1370231116800,1995-06-30,KOSPI
015940,LG데이콤,1361988774000,1995-06-30,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1284729186500,1995-06-30,KOSPI
000030,우리은행,1271600000000,1995-06-30,KOSPI
010950,S-Oil,1227152432800,1995-06-30,KOSPI
010140,삼성중공업,1199920000000,1995-06-30,KOSPI
000110,제일은행,1172600000000,1995-06-30,KOSPI
015760,한국전력,17376676017000,1995-07-31,KOSPI
005930,삼성전자,7611610300000,1995-07-31,KOSPI
005490,POSCO홀딩스,6554346338000,1995-07-31,KOSPI
000200,대우중공업,3283394598160,1995-07-31,KOSPI
017670,SK텔레콤,2409900000000,1995-07-31,KOSPI
002610,LGEI,2131341448800,1995-07-31,KOSPI
005380,현대차,1733655528000,1995-07-31,KOSPI
003600,SK,1679518954300,1995-07-31,KOSPI
015580,신한은행,1599600000000,1995-07-31,KOSPI
000130,한일은행,1568700000000,1995-07-31,KOSPI
000720,현대건설,1568494620000,1995-07-31,KOSPI
000010,조흥은행,1566200000000,1995-07-31,KOSPI
015940,LG데이콤,1518677748000,1995-07-31,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1465977287500,1995-07-31,KOSPI
000030,우리은행,1395700000000,1995-07-31,KOSPI
003550,LG,1297208677600,1995-07-31,KOSPI
003490,대한항공,1294943692800,1995-07-31,KOSPI
010140,삼성중공업,1256520000000,1995-07-31,KOSPI
000110,제일은행,1239840000000,1995-07-31,KOSPI
010950,S-Oil,1227152432800,1995-07-31,KOSPI
015760,한국전력,16760481832000,1995-08-31,KOSPI
005930,삼성전자,7611610300000,1995-08-31,KOSPI
005490,POSCO홀딩스,5990935478000,1995-08-31,KOSPI
000200,대우중공업,3358423201600,1995-08-31,KOSPI
017670,SK텔레콤,2168910000000,1995-08-31,KOSPI
002610,LGEI,1900711217400,1995-08-31,KOSPI
000720,현대건설,1725344082000,1995-08-31,KOSPI
015580,신한은행,1702800000000,1995-08-31,KOSPI
000010,조흥은행,1656400000000,1995-08-31,KOSPI
000130,한일은행,1601900000000,1995-08-31,KOSPI
005380,현대차,1533000953000,1995-08-31,KOSPI
015940,LG데이콤,1512651249000,1995-08-31,KOSPI
003600,SK,1484529564000,1995-08-31,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1471308114000,1995-08-31,KOSPI
000030,우리은행,1458600000000,1995-08-31,KOSPI
000110,제일은행,1293960000000,1995-08-31,KOSPI
002860,하나은행,1246400000000,1995-08-31,KOSPI
003810,대우,1232753190700,1995-08-31,KOSPI
003490,대한항공,1199579622400,1995-08-31,KOSPI
010140,삼성중공업,1177280000000,1995-08-31,KOSPI
015760,한국전력,17808011946500,1995-09-30,KOSPI
005930,삼성전자,8970826425000,1995-09-30,KOSPI
005490,POSCO홀딩스,6169348917000,1995-09-30,KOSPI
000200,대우중공업,3644336967600,1995-09-30,KOSPI
017670,SK텔레콤,2686900000000,1995-09-30,KOSPI
002610,LGEI,2043861016200,1995-09-30,KOSPI
000010,조흥은행,1787600000000,1995-09-30,KOSPI
000720,현대건설,1783602453600,1995-09-30,KOSPI
015580,신한은행,1764720000000,1995-09-30,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1748511092000,1995-09-30,KOSPI
000130,한일은행,1676600000000,1995-09-30,KOSPI
005380,현대차,1661419881000,1995-09-30,KOSPI
015940,LG데이콤,1657287225000,1995-09-30,KOSPI
003600,SK,1643586303000,1995-09-30,KOSPI
000030,우리은행,1504500000000,1995-09-30,KOSPI
000110,제일은행,1377600000000,1995-09-30,KOSPI
010140,삼성중공업,1375380000000,1995-09-30,KOSPI
005935,삼성전자우,1355403192000,1995-09-30,KOSPI
002860,하나은행,1330040000000,1995-09-30,KOSPI
000270,기아,1326359185800,1995-09-30,KOSPI
015760,한국전력,19410116827500,1995-10-31,KOSPI
005930,삼성전자,9133932360000,1995-10-31,KOSPI
005490,POSCO홀딩스,6253860546000,1995-10-31,KOSPI
000200,대우중공업,3555059131250,1995-10-31,KOSPI
017670,SK텔레콤,2731220000000,1995-10-31,KOSPI
002610,LGEI,2616460211400,1995-10-31,KOSPI
000720,현대건설,1810490932800,1995-10-31,KOSPI
005931,"Empty DataFrame
Columns: []
Index: []",1796488530500,1995-10-31,KOSPI
005380,현대차,1713590070500,1995-10-31,KOSPI
015940,LG데이콤,1687419720000,1995-10-31,KOSPI
000010,조흥은행,1656400000000,1995-10-31,KOSPI
015580,신한은행,1630560000000,1995-10-31,KOSPI
000130,한일은행,1527200000000,1995-10-31,KOSPI
003600,SK,1526944694400,1995-10-31,KOSPI
000270,기아,1445582483400,1995-10-31,KOSPI
005935,삼성전자우,1433954967900,1995-10-31,KOSPI
000030,우리은행,1394000000000,1995-10-31,KOSPI
003490,대한항공,1350154470400,1995-10-31,KOSPI
003550,LG,1319071745200,1995-10-31,KOSPI
010140,삼성중공업,1318780000000,1995-10-31,KOSPI
015760,한국전력,18855542061000,1995-11-30,KOSPI
005930,삼성전자,7883453525000,1995-11-30,KOSPI
005490,POSCO홀딩스,5493255885000,1995-11-30,KOSPI
000200,대우중공업,3144290054400,1995-11-30,KOSPI
017670,SK텔레콤,2548400000000,1995-11-30,KOSPI
002610,LGEI,2234727414600,1995-11-30,KOSPI
000720,현대건설,1662604297200,1995-11-30,KOSPI
000010,조흥은행,1656400000000,1995-11-30,KOSPI
015940,LG데이콤,1627154730000,1995-11-30,KOSPI
